series,date,sector,value
abs,2016-10-01,p5.3,35331.0
abs,2016-10-01,p5.3.1,15722.0
abs,2016-10-01,p5.3.2,5277.0
abs,2016-10-01,p5.3.3,4705.0
abs,2016-10-01,p5.3.4,9627.0
abs,2016-10-01,p5.4,15446.0
abs,2016-10-01,p5.4.1,2147.0
abs,2016-10-01,p5.4.2,2578.0
abs,2016-10-01,p5.4.6,10721.0
abs,2016-10-01,p5.5,28805.0
abs,2016-10-01,p6,4280.0
abs,2017-01-01,p0,310744.0
abs,2017-01-01,p1,22608.0
abs,2017-01-01,p1.1,14697.0
abs,2017-01-01,p1.1.1,1070.0
abs,2017-01-01,p1.1.2,7721.0
abs,2017-01-01,p1.1.7,5906.0
abs,2017-01-01,p1.2,3271.0
abs,2017-01-01,p1.3,1757.0
abs,2017-01-01,p1.4,2883.0
abs,2017-01-01,p1.4.1,1977.0
abs,2017-01-01,p1.4.2,906.0
abs,2017-01-01,p2,26845.0
abs,2017-01-01,p2.1,11900.0
abs,2017-01-01,p2.2,12875.0
abs,2017-01-01,p2.3,2069.0
abs,2017-01-01,p3,69022.0
abs,2017-01-01,p3.1,7952.0
abs,2017-01-01,p3.1.1,2513.0
abs,2017-01-01,p3.1.2,3605.0
abs,2017-01-01,p3.1.3,1073.0
abs,2017-01-01,p3.1.4,761.0
abs,2017-01-01,p3.2,1300.0
abs,2017-01-01,p3.2.1,1111.0
abs,2017-01-01,p3.2.2,189.0
abs,2017-01-01,p3.3,3818.0
abs,2017-01-01,p3.3.1,1679.0
abs,2017-01-01,p3.3.2,1084.0
abs,2017-01-01,p3.3.3,1055.0
abs,2017-01-01,p3.4,19787.0
abs,2017-01-01,p3.4.1,8878.0
abs,2017-01-01,p3.4.2,7419.0
abs,2017-01-01,p3.4.3,1343.0
abs,2017-01-01,p3.4.4,2147.0
abs,2017-01-01,p3.5,7867.0
abs,2017-01-01,p3.5.1,2458.0
abs,2017-01-01,p3.5.2,1635.0
abs,2017-01-01,p3.5.3,3774.0
abs,2017-01-01,p3.6,21135.0
abs,2017-01-01,p3.6.1,2960.0
abs,2017-01-01,p3.6.2,1383.0
abs,2017-01-01,p3.6.3,1448.0
abs,2017-01-01,p3.6.4,14336.0
abs,2017-01-01,p3.6.5,1008.0
abs,2017-01-01,p3.7,7161.0
abs,2017-01-01,p3.7.1,5102.0
abs,2017-01-01,p3.7.2,1222.0
